top,bottom,flicker
0607HighNoise.jpg,0093lowNoise.jpg,0
1886HighNoise.jpg,0626lowNoise.jpg,2
0882HighNoise.jpg,1392lowNoise.jpg,1
0561HighNoise.jpg,1144lowNoise.jpg,3
0652HighNoise.jpg,1515MedNoise.jpg,0
1020HighNoise.jpg,0156MedNoise.jpg,2
0845HighNoise.jpg,1261MedNoise.jpg,1
0480HighNoise.jpg,2167MedNoise.jpg,3
0151lowNoise.jpg,1892HighNoise.jpg,0
1965lowNoise.jpg,1413HighNoise.jpg,2
1468lowNoise.jpg,1313HighNoise.jpg,1
0348lowNoise.jpg,0208HighNoise.jpg,3
0434lowNoise.jpg,1287MedNoise.jpg,0
0279lowNoise.jpg,0929MedNoise.jpg,2
1385lowNoise.jpg,0007MedNoise.jpg,1
0515lowNoise.jpg,1541MedNoise.jpg,3
2128MedNoise.jpg,2112HighNoise.jpg,0
0143MedNoise.jpg,1259HighNoise.jpg,2
0533MedNoise.jpg,1471HighNoise.jpg,1
2045MedNoise.jpg,2082HighNoise.jpg,3
0826MedNoise.jpg,1472lowNoise.jpg,0
1426MedNoise.jpg,1018lowNoise.jpg,2
0157MedNoise.jpg,1627lowNoise.jpg,1
0147MedNoise.jpg,1630lowNoise.jpg,3
